Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
1	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	97.2	24.86	50.0	50.16	50.16	74.87	52.65	74.51	51.06	67	34	11	11	97.347	d641b169b40782842fd24754e9d189568b3b302b4d6f376e905188d139e51d03	89.6	27.37	51.61	51.9	51.9	75.71	52.12	75.72	51.89	47	24	10	10	28.787	d5593a29eddc4f3422f2dc424aab6485e34cdb0704647a4a4ada1b92b2b4a0d7	97.2	24.86	50.0	50.16	50.16	74.87	52.65	74.51	51.06	67	34	11	11	30.287	d641b169b40782842fd24754e9d189568b3b302b4d6f376e905188d139e51d03	89.6	27.37	51.61	51.9	51.9	75.71	52.12	75.72	51.89	47	24	10	10	28.518	d5593a29eddc4f3422f2dc424aab6485e34cdb0704647a4a4ada1b92b2b4a0d7	99.84	21.83	48.06	48.14	48.14	73.84	55.11	73.43	49.51	0.0	5000.0	255120.0	0.0	0.19	0.08	0.08	0.08	0.02	0.14	0.02	0.09	0.0	0.0	36720.0	0.0	("de4a9a90985ad0f823a4d5af834289ef3cc66cff1a407c9b9acc20ac0f9e7cb3", "fa4aca511faea47d9b874816c17e975e3ec3062abce93e7b349bb86d41beabc2", "23cd6d51ec4312a185e095ac514662417a7744b4554e2c13e91090672cbca8e1", "af89754434b6fe13ccf1cb3f8296c6fedeb07bafc48b2db842b1d68549947b1c", "820cc03277be183e130f765fe2bd3d38c80ee7d85307e4a65b9d6655d3b19c36")	99.92	25.71	50.65	50.67	50.67	75.15	57.21	74.9	51.76	44.16	10000.0	511000.0	0.0	0.28	0.12	0.12	0.12	0.03	0.14	0.04	0.1	0.05	0.0	175800.0	1573.647	("945fd943b8abaf7e92926571a2e247932883e59a36b179329e549f1fe3930ee3", "97065e61d172a7402c9668d869ee2f0af73d8ebc40b6ddd489456b808ee48637", "556622298282e1ba0200671b139b5069fe387bbfd478adc48c31095f13e49ed4", "48e9442e1715a2727c0310b5f17465c1cee11137ea4ab02721a53da9332b86e4", "fcd83426931a2275abbc41a91da3a7e555d1a1ea3e6926e04f55a05f83123493")	
2	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	97.6	41.99	61.29	61.67	61.67	80.6	60.91	80.95	60.95	69	35	14	10	99.36	7d100f8534358c4bbe7ddb5ca84654a237a9b83263c76cdbc76d3f055755c600	89.2	32.29	54.84	55.24	55.24	77.35	54.46	77.73	54.3	47	24	11	9	43.592	1fb1e761a24a49ccd23884b9834f37b8b238f0a54d298cb6e2c4c5c0e9162d6f	97.6	41.99	61.29	61.67	61.67	80.6	60.91	80.95	60.95	69	35	14	10	44.334	7d100f8534358c4bbe7ddb5ca84654a237a9b83263c76cdbc76d3f055755c600	89.2	32.29	54.84	55.24	55.24	77.35	54.46	77.73	54.3	47	24	11	9	43.498	1fb1e761a24a49ccd23884b9834f37b8b238f0a54d298cb6e2c4c5c0e9162d6f	99.84	43.29	62.26	62.35	62.35	81.03	64.7	80.9	62.98	0.0	5000.0	259520.0	0.0	0.17	0.07	0.07	0.07	0.02	0.05	0.02	0.06	0.0	0.0	64120.0	0.0	("9cb81baa19faa276c6d2db10f23c038a33c5ce27a57354a866220f00fcb4bef5", "1e4602ce8260332751ace11055b0d43c580fa4733db3f95f53f3829bc1822670", "f9393a8a80a7d4f913477533e688e1a9349a4e6682c084702fe804f49b8be42a", "fb675988399f61dfe89d49eec1b72ec560a126695c3322b460aaf93b5f27f1c2", "806578160327feb94741ba24fdc238ff49f9dc1edd4d38c0e1550bfe562bdcae")	100.0	48.62	65.81	65.9	65.9	82.8	68.2	82.66	66.57	48.0	10000.0	521600.0	0.0	0.19	0.08	0.08	0.08	0.02	0.02	0.02	0.06	0.08	0.0	230600.0	1552.279	("e3ad21e216d52373e597f70433e7e84027699697127964f3360de71ee90adc9c", "377424094e4037a5d8a1cf9223e723b04eb711c52c7e813edcdffe646e4f71fb", "2c68b8a654dc6643c936b2890eaa161adc07b412034cc24c2ea892a7b3580b49", "240747175c45cfa7e691c82a59649231f9f0f7804305b335b8ab05de3eadd04d", "a86b3bf58aa6ef6bbb95b3dff2650eaf633e0c90c84ccd69ed25e0b06226852f")	
3	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	97.6	34.63	56.45	56.51	56.51	78.18	56.9	78.26	56.45	69	35	13	10	143.231	f8b0fcd3c73aa0b3e61f44ba25001533ba0b1bd713d8a89c07e4532942dc560a	95.6	36.98	58.06	58.1	58.1	78.94	60.19	79.01	58.36	61	31	13	10	102.819	9384119c2d25bc50523f24d21c3e8008cfff04921e63c8bacd9db2423cc21497	97.6	34.63	56.45	56.51	56.51	78.18	56.9	78.26	56.45	69	35	13	10	103.904	f8b0fcd3c73aa0b3e61f44ba25001533ba0b1bd713d8a89c07e4532942dc560a	95.6	36.98	58.06	58.1	58.1	78.94	60.19	79.01	58.36	61	31	13	10	103.505	9384119c2d25bc50523f24d21c3e8008cfff04921e63c8bacd9db2423cc21497	100.0	32.09	54.84	54.81	54.81	77.31	58.34	77.17	55.47	0.0	5000.0	254240.0	0.0	0.29	0.13	0.13	0.13	0.03	0.16	0.04	0.12	0.0	0.0	173480.0	0.0	("d825b23c71dfdb8fe9bfc103e975878e660d6f8dd191087681e7d1fe7d315861", "2b75dc4c75a8ed3cc098fdb9a13811689794a216a57c0db99c7cd369471eb7d2", "e0cd52a19f3cc898f330da1a79857eaf98cd19b4f95a73cd692c68073eb239d1", "e4c92bc3fc15d4637b0b34130d83314e2ecc17f1442ad88715c13d8fb153cd26", "36c062cc5f0bfec6c3cb7c81a460e77b67913c3e026b40d61766be256f1976c2")	100.0	34.51	56.45	56.4	56.4	78.11	59.92	77.99	57.03	44.08	10000.0	508560.0	0.0	0.09	0.04	0.04	0.04	0.01	0.02	0.01	0.03	0.03	0.0	507080.0	1627.759	("5fdb110e7c47f7efb01578292cb0762e4dc092b5f9c64181efba63667487d5b5", "b3b498242696e30216e9c6fc04ed691f3f64abc4b8e35edac57e81e6b77c67a5", "fd3c7ffbeacc115e0256354a0ef41838fa2d2360ddfd39a1752ca46455288e60", "c05e34ba284000e1ffa4b6596d9026a75543e71203096fbba592ffb1b8131dc3", "72e6c16bebf3b5abd53412c3b4245ae74fcdad6a8fe356239d82d987ea319cfb")	
4	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	97.6	29.71	53.23	53.17	53.17	76.54	54.17	76.51	53.37	71	36	10	9	40.937	2f28960db1bf49a4af97585c29bd0f231799ae89cedd44cb7ead94c05b40d70b	90.8	29.66	53.23	53.17	53.17	76.5	55.69	76.68	53.27	51	26	9	9	17.216	b743818fbfec08acfab8aa89649881a89dced2bf108455946d7e2f703cc97bf2	97.6	29.71	53.23	53.17	53.17	76.54	54.17	76.51	53.37	71	36	10	9	18.125	2f28960db1bf49a4af97585c29bd0f231799ae89cedd44cb7ead94c05b40d70b	90.8	29.66	53.23	53.17	53.17	76.5	55.69	76.68	53.27	51	26	9	9	17.56	b743818fbfec08acfab8aa89649881a89dced2bf108455946d7e2f703cc97bf2	99.76	32.05	54.84	54.83	54.83	77.27	60.48	77.02	55.91	0.0	5000.0	258400.0	0.0	0.38	0.17	0.16	0.16	0.04	0.27	0.05	0.14	0.0	0.0	36200.0	0.0	("922b666c40eccef4fa5c91e00e6b3a1f6525df55429233025cc7b3bd4b294238", "f44af2ac5557567c23e46e823a34d777247610a9929b54d86fbfca62425df9dd", "146d9fdecf78c324869c4301cf9a072e48da3654c411e424ea5975ecca13a779", "a14648867cf3942d9756fb7a3c5dde3e45703ded705ad3ba3765f0b4aa5c595e", "13145026784be58ed1e24521781ec9385e789ba217fa0c0e2b7405f5d2b465e6")	99.92	30.58	53.87	53.89	53.89	76.78	60.05	76.35	55.29	45.68	10000.0	517320.0	0.0	0.28	0.12	0.12	0.12	0.03	0.18	0.04	0.12	0.05	0.0	93720.0	1620.565	("4098bc72fee8512f62710ba14445379a38064d2988643976a73f877e09c31034", "bf0056a8c62c6abc6c91d12332dc874f37adfcd0fd688e2456d6e568e4a7b1e9", "1a4565af056043e4a2ea3c3588d926662b1e237ac6e3633123ebb20b609e2c0e", "bbbb7ffe2384de482423bff7e4c8e90c4d3410abcabcdb1e30c4b055f00b66b3", "5c842b5067e1a554c8ddbd29138d5a94f3aedbaa464bc4eac74a15820bfeb300")	
5	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	98.0	25.13	50.0	50.32	50.32	75.01	49.37	75.5	49.21	75	38	12	10	60.205	7607f28b4441aaa16a2d2c96c5f3a3554878794f236304df85cdc1cb4944e6c8	92.0	27.43	51.61	51.83	51.83	75.76	51.58	76.05	51.12	51	26	11	10	40.6	ccb8f5debdad0438d02416ac4e1b158def52071806492ce646b152059adf274d	98.0	25.13	50.0	50.32	50.32	75.01	49.37	75.5	49.21	75	38	12	10	40.345	7607f28b4441aaa16a2d2c96c5f3a3554878794f236304df85cdc1cb4944e6c8	92.0	27.43	51.61	51.83	51.83	75.76	51.58	76.05	51.12	51	26	11	10	40.457	ccb8f5debdad0438d02416ac4e1b158def52071806492ce646b152059adf274d	99.84	20.4	47.1	47.19	47.19	73.38	53.47	72.89	48.0	0.0	5000.0	245120.0	0.0	0.1	0.04	0.04	0.04	0.01	0.09	0.02	0.04	0.0	0.0	11320.0	0.0	("c14c0f8b065b4467cf886108f53e150942085816aaf5ab671533935a61226822", "35c4e85e2b52ad5fe43cd33df2e1125310a92df3dcc7d65b650782b3854b9c09", "15966d380eb9338d18c448c8c6cee63a9a3d2385c9443b887916a90f29bf2193", "15120e2f009ad6b16aa4f8891c0ac8f61f753de70091d83913ccb476392c75ef", "fa7b2ee97dcdbc78c55a7225c6caeb788536f9d3e428d09538bedea24f0cd09b")	99.92	24.27	49.68	49.79	49.79	74.65	56.89	74.44	50.57	42.08	10000.0	489000.0	0.0	0.22	0.1	0.09	0.09	0.02	0.15	0.04	0.08	0.01	0.0	37400.0	1557.598	("9def87d5aea6515b50154cf53196fb909750d9876ce74f093e5806fcf990c67b", "a4083d262af712798844f660cfaecdda52d630f3fc93b682f064433bd0f9d1a1", "18ee48b0a51c1b4762285e8de8aedf56b04411f5b96fe7a7950ae21a88d5ca03", "85aad44016bf79b48002128d95880cb5b4e6cd377433cb34f563384e6c252ef6", "953014a85f473762e0d2b15f7a8f49517fa25257fde8ff93fe8696cf4fb8cce7")	
6	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	96.8	29.88	53.23	53.49	53.49	76.58	53.16	76.81	52.93	73	37	13	12	101.856	38b1b52fe7fb93668df281ad549df20038c8864f420342dfc2dd1e3b0a8f2664	89.6	29.9	53.23	53.49	53.49	76.6	53.53	76.77	53.07	53	27	13	12	77.304	9acf5f05c8951cf35652edb7969280953d0e98d741cae7c7ae0e233aa7b29426	96.8	29.88	53.23	53.49	53.49	76.58	53.16	76.81	52.93	73	37	13	12	79.939	38b1b52fe7fb93668df281ad549df20038c8864f420342dfc2dd1e3b0a8f2664	89.6	29.9	53.23	53.49	53.49	76.6	53.53	76.77	53.07	53	27	13	12	77.542	9acf5f05c8951cf35652edb7969280953d0e98d741cae7c7ae0e233aa7b29426	99.92	35.47	57.1	57.1	57.1	78.42	61.19	78.33	57.85	0.0	5000.0	259960.0	0.0	0.08	0.03	0.03	0.03	0.01	0.07	0.01	0.04	0.0	0.0	66280.0	0.0	("0e3d9155679aba8251e3e94d87334a0a81096e0f2ecd8a10f4e434a8c2a28eaa", "f97c1a208a189f5df231489ffce4e3d0ac88c7ed903933532ccdd35b4f9cb95a", "5b0d8b51f9ec88bd144333d99704f04c475553915ec75c1349ee3e66e3d35c89", "0a17817245c0691144a25d0a6df5331e442eddb22a9b7ca1e7d964fa79eb7c5d", "bc4926d44dc0a2e5f0500c59fbe42d88d786d192df0fb71a398361c0393179c0")	100.0	34.52	56.45	56.43	56.43	78.12	59.12	78.01	56.98	48.64	10000.0	519480.0	0.0	0.44	0.2	0.19	0.19	0.05	0.17	0.05	0.18	0.06	0.0	139520.0	1662.586	("03b6d486dd7d201c078c677ecbc3754ec6f016834501cc073256db5285daddcd", "93f1952488ccd17a1a1de8d0e1c0fa6c4b6606422642803c78da793f898db50b", "0ad77132ed11a6bca4ea7593545c1267dba4bad74c74a0828b7a2f1ec13d0712", "e44a3f0a514e848348c672f0ec6683fe686d7cbc3557679793228397b5a54923", "08525b24aa2f3b6a8f912e5f701a7860c4c0f37d8bcc4b79153cf4a241ab0112")	
7	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	98.0	20.2	46.77	46.98	46.98	73.36	45.82	73.88	45.52	67	34	12	8	128.991	50e675784fc844cb6a8d8095608a3e54a89d8a77b2052b53a5577dc739f88b8f	87.6	24.83	50.0	50.0	50.0	74.89	52.04	74.81	50.35	39	20	10	7	97.376	d7d5837ece38c893efd0cf6b1e00c7a0431ef73892b4f3dc642cb8c6822978ee	98.0	20.2	46.77	46.98	46.98	73.36	45.82	73.88	45.52	67	34	12	8	99.57	50e675784fc844cb6a8d8095608a3e54a89d8a77b2052b53a5577dc739f88b8f	87.6	24.83	50.0	50.0	50.0	74.89	52.04	74.81	50.35	39	20	10	7	98.374	d7d5837ece38c893efd0cf6b1e00c7a0431ef73892b4f3dc642cb8c6822978ee	99.76	36.42	57.74	57.59	57.59	78.76	60.76	78.82	57.89	0.0	5000.0	246920.0	0.0	0.96	0.42	0.41	0.41	0.11	0.23	0.14	0.34	0.0	0.0	90520.0	0.0	("096e8283cd0c11fc1f77fdf5605c9aefd0946bd4a9cdc65cfd16f6400c8b9755", "af8b19fea895316fe4784628a6e6d75acea1bf57ce1e04a0741cee8dc080f79d", "11acdd2cdc20b6c943b26b61584d8558d8081062dca0ad43371bb0d1924b2f48", "3a6e21f20ec4b83f6f6dabec28c652eb79838de53383ab6fae2f25b9df3445f6", "6064c688d05116b6c8964b1bbb6f5a9f89cfb8440a38d582d5a4b58539fb79e9")	100.0	35.45	57.1	56.95	56.95	78.44	60.21	78.46	57.3	42.0	10000.0	492840.0	0.0	0.2	0.09	0.08	0.08	0.02	0.06	0.02	0.08	0.05	0.0	105080.0	1580.107	("014e984ff583af1d8aaf816d4944fd8ca5487087c7abe75f810568e7d2089f86", "b3745099c7f977124a1e5eee2e6c2fea621c34c276e115ff3fdc03a955bdc251", "52283325d9a8a02b42bd3b6277b114a6dda513e6575e37ee7c73a8bdb55f88aa", "5d5097379102e833c560914e6257f26fca8df9320582fd0010092edd7bf601a2", "d4d395f99559b070bb403ef3204245f8e1414ae582d1eba5ab21d77ab8b67ca3")	
8	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	98.8	25.1	50.0	50.48	50.48	74.95	48.54	75.56	49.24	69	35	17	12	129.974	f36653de8dcd75b27a4910d4d255d94dc4c7e4d7f546cecb3fb345bf7c921d3f	91.6	27.49	51.61	51.98	51.98	75.76	50.69	76.14	51.18	45	23	15	12	101.368	bfb29c8c1335b05806ad5e19dde507c14a9b39db3905c690882077b49df3e873	98.8	25.1	50.0	50.48	50.48	74.95	48.54	75.56	49.24	69	35	17	12	101.11	f36653de8dcd75b27a4910d4d255d94dc4c7e4d7f546cecb3fb345bf7c921d3f	91.6	27.49	51.61	51.98	51.98	75.76	50.69	76.14	51.18	45	23	15	12	100.216	bfb29c8c1335b05806ad5e19dde507c14a9b39db3905c690882077b49df3e873	99.84	38.99	59.35	59.62	59.62	79.59	60.35	79.68	59.55	0.0	5000.0	257600.0	0.0	0.22	0.1	0.09	0.09	0.02	0.1	0.03	0.1	0.0	0.0	310400.0	0.0	("68ffc101e6ec15a664a362bacf0ed8f69728da2acfb6bedb87bc0e3bc59c803a", "5c20c4ba31c885b9bcc56a929df1a259b19ea750622381d15454ced2a5b0114d", "440b70d20323bb02c87d1c0bd53c96fb4bf2a99dac074ec03cace21684318172", "855ecd923d07d5c20cb15d479a03a31f7e6581403051bfb564580470aa25ff97", "b6ba417423ee4020814e37f9f3594f93ced5fe8a91441594a13d28769c8ea296")	100.0	37.54	58.39	58.65	58.65	79.1	59.59	78.98	58.99	44.72	10000.0	518760.0	0.0	0.21	0.1	0.09	0.09	0.02	0.13	0.02	0.1	0.03	0.0	311480.0	1720.504	("b3a4967ce9d7033adf5cc19d814fb6a89efe0badc9e3b02595055cc2bbf872ba", "5bc5f1b1790c668eed9617a1830e2c0e6203711cdcc04d8c103d7f1680234e0e", "cddc7c8b5e7bd228df5c34456e6ae059699c833aacd8f38efd8997395fae0602", "2eee96595ef553132b207ff39b6232cc71111f18891ce358d4dc5d36f6e9db8c", "18fa674598cbb818a6ded0725fb05ef40f0b07589730f1d2321da0bf81012b4a")	
9	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	99.2	32.27	54.84	55.08	55.08	77.37	55.15	77.46	54.85	77	39	17	15	138.115	4233ac48bc937fc6f6e55d412b429bfe037a6d2dde6d46ad18f6c76f393f1def	91.6	34.69	56.45	56.67	56.67	78.18	57.32	78.48	56.06	57	29	17	14	105.631	1111e6d154dd4ff2a4f3acde06ef1e994c5e8dab89dc9f9cb1088ef9a5729c90	99.2	32.27	54.84	55.08	55.08	77.37	55.15	77.46	54.85	77	39	17	15	107.222	4233ac48bc937fc6f6e55d412b429bfe037a6d2dde6d46ad18f6c76f393f1def	91.6	34.69	56.45	56.67	56.67	78.18	57.32	78.48	56.06	57	29	17	14	104.898	1111e6d154dd4ff2a4f3acde06ef1e994c5e8dab89dc9f9cb1088ef9a5729c90	99.92	25.8	50.65	50.63	50.63	75.21	53.7	75.05	51.16	0.0	5000.0	250200.0	0.0	0.31	0.14	0.13	0.13	0.03	0.24	0.04	0.13	0.0	0.0	24800.0	0.0	("a871a6273c231d86f56d0279ba4febe4ddd3925e8af7caad063c7fcde3e623f3", "a1e5d9397d2f949b5333f6b2e1b8f9566a8d97333ecb9801c1f0b60524e5b7a4", "eb467ef8781f0a289c7fbb3b3a5446d65e731dd000da298741ba61300456b111", "f9831c7450b08de7444ed47ac45d95836cb1035044d5f42ce019a4925352d5df", "7f4830e9e64cb702e85b7ae968a691e5028c1d86868eb1c8bad655dda79421ee")	100.0	29.65	53.23	53.17	53.17	76.5	56.41	76.3	53.82	40.56	10000.0	500080.0	0.0	0.24	0.1	0.1	0.1	0.03	0.11	0.03	0.1	0.01	0.0	228920.0	1581.839	("6423153519f290b37cca9eea60828719d0eb1ed95137d8ff8e42a57b368ef1bf", "a7a243f2387076fabb753945a98be657c8d41fdb8cecafa0577f6e78f3cd7655", "53840331c0b3a5d1bde5f9680de1396ea20a270c27d8c122f3869366a817eff2", "76301bfd011be0f078ed325541e1e56584e05ccfd88d05a694ae15a59acdcccd", "d5434b94adf75f3385d300e25948ff41c38797c5c870ff02098fbc58d8eb246a")	
10	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[52]	[(15,)]	97.6	44.36	62.9	63.1	63.1	81.42	62.62	81.62	62.7	75	38	12	10	75.954	e050a84b41d7f96a3491867d28a32674ea6b693ec6a284baa0c0ccfcf5d3ec4f	90.0	37.08	58.06	58.33	58.33	78.96	58.18	79.04	58.18	53	27	11	10	56.027	eeef3be30d1cd4624dab3005c0503434cc7998d8541e861bc4cd7568ae1efc27	97.6	44.36	62.9	63.1	63.1	81.42	62.62	81.62	62.7	75	38	12	10	57.237	e050a84b41d7f96a3491867d28a32674ea6b693ec6a284baa0c0ccfcf5d3ec4f	90.0	37.08	58.06	58.33	58.33	78.96	58.18	79.04	58.18	53	27	11	10	56.256	eeef3be30d1cd4624dab3005c0503434cc7998d8541e861bc4cd7568ae1efc27	99.76	35.5	57.1	57.22	57.22	78.4	61.39	78.13	58.28	0.0	5000.0	261000.0	0.0	1.04	0.46	0.45	0.45	0.12	0.57	0.12	0.47	0.0	0.0	106200.0	0.0	("45efdee1d1231912f1ad614576e0e336b2825b313a7e67a9a71b56d9c4591446", "21c035ca95757959a5e166831e7d5291b4429ac45551f76c1e7c32abb627e1b6", "b99b553522ae4017901d70fca4afec3b9f694f12cc45d3dec6198989de7c5996", "1ecbf892bb4995a362f3d0213f88428c46bd23de86a06f0600a929f905487ddf", "632831707659bd2a9f68effcc6d44cc1e84b7aab785f92ae5c342bc84c3df9d5")	100.0	42.27	61.61	61.65	61.65	80.67	66.23	80.49	62.73	47.2	10000.0	520520.0	0.0	0.8	0.36	0.35	0.35	0.09	0.44	0.1	0.35	0.04	0.0	51320.0	1574.58	("76d483eea3581213b0f056ae683972f5300160d951cf856eff4a6a76804a2a66", "7b95deb23eda07a9a630584777fd4973b0b822ba0e10280823f9503dfc15d530", "d6cde7708f7fc9af032e2dd2b8b3d651ba3472ceac175f7bbbec29f69f8de321", "fbb214782af7b0dc86e0d4fc07b5d8bac454ab46a1e338ecbbe232e33b4b6546", "260c76e939a7320ce200f5b06216501d9ddb1e35a555cce264c9dc161b1ce2e0")	
